CID,smiles
24776232,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O)NC(=O)C
24776219,CC(CP(=O)(C1CCCN1C(=O)OCC2=CC=CC=C2)O)C(=O)O
1382255,CC1=C(C=C(C=C1)Cl)C2=CC=C(O2)C=C(C(=O)O)SC3=NNC(=N3)C
24776220,CC(NC(=O)OCC1=CC=CC=C1)P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O
10742064,CC(C)CC(NC(=O)OCC1=CC=CC=C1)P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O
14134448,CC(N)P(=O)(CC(CC1=CC=CC=C1)C(=O)O)O
24776223,C1CC(NC1)P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O
24776221,C1=CC=C(C=C1)CC(CP(=O)(C(CC2=CC=CC=C2)N)O)C(=O)O
24776245,CC1=CC(=CC=C1)CN2C=NC=C2CC(C(=O)O)NC(CC(C)C)C(=O)O
24776247,CC1=CC(=CC(=C1)CN2C=NC=C2CC(C(=O)O)NC(CC(C)C)C(=O)O)C
24776246,CC1=C(C=C(C=C1)CN2C=NC=C2CC(C(=O)O)NC(CC(C)C)C(=O)O)C
44447656,CC(C)CC1C(=O)N2CCCC2C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3CCCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)CC4=CC=C(C=C4)O)CC5=CC=C(C=C5)O)CC6=CNC7=CC=CC=C76)CC8=CNC9=CC=CC=C98)CCCCN)NC(=O)C(C(C)O)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C1CCCN1C(=O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)NC(CC1=CNC=N1)C(=O)NC(CO)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)C)CO
2442,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2
24776222,CC(C)CC(N)P(=O)(CC(CC1=CC=CC=C1)C(=O)O)O
24776248,CC(C)CC(C(=O)O)NC(CC1=CN=CN1C(C)(C)C2CCCCC2)C(=O)O
52946818,CC(C)CC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)N3CCCC3C(=O)NC(CC4=CNC5=CC=CC=C54)C(=O)NC(CC6=CNC7=CC=CC=C76)C(=O)NC(CCCCN)C(=O)NC(CS)C(=O)NC(C(C)O)C(=O)NC(CC8=CC=C(C=C8)O)C(=O)N9CCCC9C(=O)NC(CC(=O)O)C(=O)N1CCCC1C(=O)O)NC(=O)C1CCCN1C(=O)C(CO)NC(=O)C(CS)NC(=O)C(CC1=CN=CN1)NC(=O)C(CO)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CC(=O)O)NC(=O)CN
6288,CC(C(C(=O)O)N)O
6202,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-]
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
6224,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]
44299577,CCSC(=NC1=CC=CC=C1)N.[I-]
44329078,CSCC(=NC1=CC=CC(=C1)CN)N.[Br-].[Br-]
9942127,CC1CCN=C1N
44347063,CCC1C(CC(=N1)N)C.[Cl-]
16739325,CN1CCCC1CCNC2=NC3=C(S2)C=CC(=C3)N=C(C4=CC=CS4)N
44319825,C1CC2C(C1)C(=NC3=C2C=CC(=C3)F)N
10060017,CN=C(N)NC1=CC=CC=C1CC(C(=O)O)N
9794039,CC1=CC(=NC(=C1)N)CCC(C)C
9839201,CN(C)CCOC1=C2CCCC2=C(C=C1)C3=NC(=CC=C3)N
39836,COC(=O)C(CCCN=C(N)N[N+](=O)[O-])N
10130105,CCC1=CC(=NCC1)N
42625451,CC1=CC(=NC(=C1)N)CC(C)F
18785824,C1C(N=C(C2=C1C=CS2)N)C3=CC=CS3
10584290,C1CC(N=C(C1)N)C(F)(F)F
12778906,CC1CCC(=N1)N
2733506,CC(=NCCCCC(C(=O)O)N)N
44399945,CC1CC(=NC2C1CCCC2)N
9793824,C1CN=C(C2=CC=CC=C21)N
44329296,C1=CC(=CC(=C1)N=C(C2=CC=CS2)N)CN.[Br-].[Br-]
44430635,C1CN(CCC1NC2=NC3=C(S2)C=C(C=C3)N=C(C4=CC=CS4)N)CCC5=CC=C(C=C5)Br
10103242,CC1=CC(=NCC1(C)C)N
10800919,CCCC1CCCC(=N1)N
11175135,C1CCC2=C(C=CC(=C2C1)C3=NC(=CC=C3)N)OCCN4CCCC4
44319656,C1CC2C(C1)C(=NC3=C2C=C(C=C3)F)N
10265375,C1=CSC(=C1)C(=NC2=CC3=C(C=C2)SC(=N3)N)N
